左侧,右侧,关联规则,支持度,置信度,提升度
webapp,react,webapp => react,0.00278319,0.243902439,1.015459401
chartjs,react,chartjs => react,0.003618146,0.254901961,1.061254629
typescript,reactjs,typescript => reactjs,0.003896465,0.274509804,1.157645218
firebase,react,firebase => react,0.004174784,0.283018868,1.178316098
typescript,react,typescript => react,0.004453103,0.31372549,1.306159544
axios,react,axios => react,0.002226552,0.32,1.332282735
axios,reactjs,axios => reactjs,0.002226552,0.32,1.349483568
javascript,react,javascript => react,0.028945171,0.347826087,1.448133407
javascript,reactjs,javascript => reactjs,0.031728361,0.381270903,1.607871308
react native,react,react native => react,0.006957974,0.390625,1.626321698
chartjs,reactjs,chartjs => reactjs,0.007514612,0.529411765,2.232601491
material ui,react,material ui => react,0.009462844,0.53968254,2.246905406
react hooks,reactjs,react hooks => reactjs,0.004174784,0.535714286,2.25918008
react hooks,react,react hooks => react,0.005009741,0.642857143,2.676460851
material ui,reactjs,material ui => reactjs,0.013080991,0.746031746,3.146117445
material ui,javascript,material ui => javascript,0.004731422,0.26984127,3.242607634
app,flutter,app => flutter,0.00278319,0.303030303,3.467477321
reactjs,react,reactjs => react,0.199833009,0.842723005,3.508579091
chartjs,javascript,chartjs => javascript,0.004453103,0.31372549,3.769952128
nodejs,javascript,nodejs => javascript,0.012246034,0.35483871,4.263998274
react native,android,react native => android,0.004453103,0.25,4.29784689
express,javascript,express => javascript,0.003339827,0.375,4.506270903
bootstrap,javascript,bootstrap => javascript,0.004453103,0.380952381,4.577799013
app,android,app => android,0.00278319,0.303030303,5.209511382
bootstrap,api,bootstrap => api,0.003618146,0.30952381,5.674076774
express,api,express => api,0.00278319,0.3125,5.728635204
rest api,api,rest api => api,0.004453103,0.380952381,6.983479106
html,javascript,html => javascript,0.00807125,0.591836735,7.111937752
java,android,java => android,0.009184525,0.445945946,7.666429587
heroku,api,heroku => api,0.003061508,0.423076923,7.755690738
css,javascript,css => javascript,0.009741163,0.648148148,7.788616376
html5,javascript,html5 => javascript,0.005566379,0.666666667,8.011148272
retrofit2,android,retrofit2 => android,0.003618146,0.565217391,9.716871229
java,android app,java => android app,0.005009741,0.243243243,9.819921045
ios,android,ios => android,0.009741163,0.573770492,9.863910895
flutter apps,flutter,flutter apps => flutter,0.067074868,0.975708502,11.16471544
dart,flutter,dart => flutter,0.064291678,0.987179487,11.2959742
android,android app,android => android app,0.016420818,0.282296651,11.39653782
dart,flutter apps,dart => flutter apps,0.057055385,0.876068376,12.74378006
android,kotlin,android => kotlin,0.012524353,0.215311005,14.06568073
android app,kotlin,android app => kotlin,0.005844698,0.235955056,15.41430031
retrofit2,java,retrofit2 => java,0.002226552,0.347826087,16.88836663
axios,material ui,axios => material ui,0.002226552,0.32,18.25015873
chartjs,material ui,chartjs => material ui,0.00528806,0.37254902,21.24712107
express,nodejs,express => nodejs,0.006679655,0.75,21.73185484
html5,css,html5 => css,0.003061508,0.366666667,24.39691358
spring boot,java,spring boot => java,0.003896465,0.538461538,26.14449064
retrofit2,kotlin,retrofit2 => kotlin,0.003061508,0.47826087,31.24347826
vue,vuejs,vue => vuejs,0.003896465,0.411764706,36.98676471
ios,swift,ios => swift,0.005844698,0.344262295,42.65291125
css,html,css => html,0.01057612,0.703703704,51.60015117
