Id,Label,cluster,weight
0,webapp,1,1
1,react,1,10
2,chartjs,1,4
3,typescript,1,2
4,reactjs,1,7
5,firebase,1,1
6,axios,1,3
7,javascript,1,10
8,react native,1,2
9,material ui,1,5
10,react hooks,1,2
11,app,4,2
12,flutter,4,3
13,nodejs,1,2
14,android,4,7
15,express,1,3
16,bootstrap,1,2
17,api,1,4
18,rest api,1,1
19,html,1,2
20,java,4,4
21,heroku,1,1
22,css,1,3
23,html5,1,2
24,retrofit2,4,3
25,android app,4,3
26,ios,4,2
27,flutter apps,4,2
28,dart,4,2
29,kotlin,4,3
30,spring boot,1,1
31,vue,1,1
32,vuejs,1,1
33,swift,4,1
