tag,count
covid 19,3291
coronavirus tracking,602
covid19 data,490
python,457
javascript,228
react,203
coronavirus real time,195
coronavirus info,176
reactjs,175
api,171
covid 19 india,169
covid api,162
android,144
coronavirus analysis,132
machine learning,130
data visualization,125
deep learning,112
flutter,108
nodejs,105
dataset,101
visualization,99
dashboard,95
data,95
pandemic,82
data science,77
india,75
flask,73
r,72
data analysis,68
jupyter notebook,67
java,66
android app,65
epidemiology,61
open source,58
tracker,57
css,55
typescript,52
firebase,51
ios,51
html,50
vuejs,50
react native,50
docker,48
kotlin,48
material ui,48
covid 19 italy,48
chartjs,48
computer vision,47
health,47
dart,47
flutter apps,46
artificial intelligence,46
pandas,46
webapp,44
bootstrap,44
simulation,44
coronavirus globaloutbreak,43
rest api,43
angular,43
django,42
statistics,42
nlp,41
tensorflow,41
vue,40
convolutional neural networks,40
time series,39
json,38
golang,37
bot,37
coronavirus dataset,37
plotly,37
open data,36
telegram bot,36
social distancing,36
app,35
epidemic,34
virus,34
brazil,34
express,33
php,32
healthcare,32
twitter,32
map,31
country,31
html5,31
mask,30
covid19 dataset,30
covid 19 brazil,30
italy,28
react hooks,28
swift,28
matplotlib,27
heroku,27
wirvsvirus,27
contact tracing,27
pytorch,26
website,26
retrofit2,26
graphql,26
cli,26
csv,26
hackathon,26
spring boot,25
prediction,25
beautifulsoup4,25
axios,25
keras,25
